artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Take That;Patience;202066;2006;175.788;pop;0.783;10;-4.154
Kesha;Take It Off;215200;2010;125.036;pop, Dance/Electronic;0.675;5;-5.292
Britney Spears;If U Seek Amy;216520;2008;129.954;pop;0.587;4;-7.296
G-Unit;Wanna Get To Know You;265026;2003;76.91;hip hop, pop;0.826;10;-3.651
Lana Del Rey;Lust for Life (with The Weeknd);264011;2017;99.979;pop;0.676;0;-8.618
Black Eyed Peas;Let's Get It Started - Spike Mix;217733;2004;104.923;hip hop, pop;0.799;11;-2.208
Petit Biscuit;Sunset Lover;237792;2015;90.838;Dance/Electronic;0.467;6;-9.474
Backstreet Boys;Incomplete;239586;2005;133.631;pop;0.589;4;-4.834
Enrique Iglesias;Tonight (I'm Fuckin' You);232213;2010;125.953;pop, latin;0.89;0;-3.982
Beyoncé;Baby Boy (feat. Sean Paul);244826;2003;91.025;pop, R&B;0.488;1;-9.17
Jay Sean;Eyes On You - Radio Mix;190493;2004;96.525;hip hop, pop, R&B;0.672;7;-4.971
Lil Wayne;How To Love;240306;2011;153.992;hip hop, pop;0.661;11;-6.093
Finger Eleven;Paralyzer;208106;2007;106.031;rock, metal;0.939;11;-3.486
Kanye West;Homecoming;203493;2007;86.917;hip hop;0.747;1;-7.059
T.I.;Whatever You Like;249533;2008;150.053;hip hop, pop;0.687;9;-6.162
Eminem;Like Toy Soldiers;296880;2004;79.178;hip hop;0.768;8;-3.489
Calvin Harris;Feels (feat. Pharrell Williams, Katy Perry & Big Sean);223413;2017;101.018;hip hop, pop, Dance/Electronic;0.745;11;-3.105
Lil' Kim;The Jump Off (feat. Mr. Cheeks) - Remix;234800;2003;104.946;hip hop, pop, R&B;0.752;1;-8.831
Eminem;Mockingbird;250760;2004;84.039;hip hop;0.678;0;-3.798
Meghan Trainor;NO;213506;2017;92.134;pop;0.803;1;-3.599
Mary J. Blige;One;260466;2005;185.888;pop, R&B;0.874;0;-3.161
XXXTENTACION;Jocelyn Flores;119133;2017;134.021;hip hop;0.391;0;-9.144
Tame Impala;The Less I Know The Better;216320;2015;116.879;metal;0.74;4;-4.083
Rihanna;We Found Love;215226;2011;127.985;hip hop, pop, R&B;0.766;1;-4.485
Cassie;Me & U;192213;2006;99.99;pop, R&B;0.454;8;-4.802
NLE Choppa;Shotta Flow (feat. Blueface) [Remix];176631;2019;120.08;hip hop;0.511;2;-4.768
Chris Brown;With You;252120;2007;86.009;hip hop, pop, R&B;0.693;3;-4.298
Mariah Carey;Touch My Body;204733;2008;78.502;pop, R&B;0.665;4;-7.736
Gwen Stefani;Hollaback Girl;199853;2004;110.007;pop, R&B;0.916;10;-2.221
Rihanna;Russian Roulette;227533;2009;80.051;hip hop, pop, R&B;0.486;6;-5.754
Britney Spears;I Wanna Go;210266;2011;130.002;pop;0.546;5;-6.55
Kevin Lyttle;Turn Me On;192106;2004;106.279;hip hop;0.682;9;-6.879
Galantis;Runaway (U & I);227073;2015;126.008;pop, Dance/Electronic;0.805;1;-4.119
Staind;It's Been Awhile;264706;2001;116.529;rock, metal;0.774;6;-4.054
3 Doors Down;Kryptonite;233933;2000;99.009;pop, rock, metal;0.865;11;-5.708
Kelly Clarkson;Already Gone;281560;2009;78.139;pop, R&B;0.872;9;-2.996
Eric Prydz;Proper Education - Radio Edit;198567;2007;124.938;pop, Dance/Electronic;0.937;0;-4.543
Lana Del Rey;High By The Beach;257573;2015;131.988;pop;0.486;11;-11.067
Benny Benassi;Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz;285570;2003;130.017;pop, Dance/Electronic;0.698;11;-3.626
Sheppard;Geronimo;218227;2014;142.016;pop, rock, Dance/Electronic;0.771;7;-6.275
Amy Winehouse;Rehab;214946;2006;71.815;R&B;0.558;0;-13.609
Nick Lachey;What's Left Of Me;244613;2006;149.965;pop;0.742;7;-5.665
Enrique Iglesias;Bailando - Spanish Version;243386;2014;90.949;pop, latin;0.792;7;-3.519
Milky Chance;Stolen Dance;313684;2014;114.016;set();0.581;11;-8.813
Eminem;Shake That;274440;2005;107.005;hip hop;0.643;1;-5.785
Jennifer Lopez;I'm Gonna Be Alright (feat. Nas);172240;2002;93.401;hip hop, pop, R&B;0.69;10;-4.382
Ronan Keating;Lovin' Each Day;212973;2000;106.676;pop, rock;0.899;1;-6.261
Avril Lavigne;When You're Gone;240493;2007;142.034;pop;0.719;4;-3.921
Mýa;Case Of The Ex (Whatcha Gonna Do);236906;2000;98.0;pop, R&B;0.688;1;-4.715
Sunshine Anderson;Heard It All Before;295826;2001;96.951;pop, R&B;0.925;3;-4.209
Good Charlotte;Lifestyles of the Rich & Famous;190173;2002;106.22;rock, metal;0.93;1;-3.685
Destiny's Child;Bootylicious;207906;2001;103.376;pop, R&B;0.835;1;-4.386
Sean Paul;(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version;243880;2006;95.824;hip hop, pop;0.761;8;-3.04
Pitbull;Don't Stop the Party (feat. TJR);206120;2012;127.008;hip hop, pop, latin;0.958;4;-3.617
The Corrs;Breathless;207506;2000;126.988;pop, Folk/Acoustic;0.82;11;-7.754
Enrique Iglesias;Be With You;219360;1999;121.996;pop, latin;0.866;1;-5.436
Justin Bieber;Friends (with BloodPop®);189466;2017;104.99;pop;0.739;8;-5.35
OneRepublic;Good Life;253306;2009;94.988;pop;0.69;6;-7.804
Mariah Carey;It's Like That;203360;2005;95.953;pop, R&B;0.633;8;-4.875
Tinie Tempah;Girls Like (feat. Zara Larsson);196000;2016;120.028;hip hop, pop, Dance/Electronic;0.804;0;-3.406
